DATASET_COLORSTRIP
SEPARATOR COMMA

DATASET_LABEL,Phylum
LEGEND_TITLE,Group
LEGEND_SHAPES,1,1,1,1,1,1,1,1,1
LEGEND_LABELS,Firmicutes,Other,Deltaproteobacteria,Cyanobacteria,Gammaproteobacteria,Alphaproteobacteria,Actinobacteria,Epsilonproteobacteria,Betaproteobacteria
LEGEND_COLORS,#4c7cb0,#d9d7d7,#02e9f5,#fafa02,#8a51b5,#911f4c,#f0bdd1,#a88d4c,#ed83f2


DATA
637124597,#02e9f5
637456760,#a88d4c
637475465,#911f4c
637607529,#ed83f2
637781355,#02e9f5
637781358,#02e9f5
637846716,#d9d7d7
637926727,#911f4c
640592077,#d9d7d7
640612957,#f0bdd1
640870062,#a88d4c
640872262,#a88d4c
640949094,#a88d4c
641006774,#4c7cb0
641036800,#4c7cb0
641047713,#4c7cb0
641405730,#4c7cb0
642193159,#4c7cb0
642204870,#4c7cb0
642613134,#d9d7d7
642852556,#4c7cb0
643102058,#4c7cb0
643114453,#4c7cb0
643138633,#02e9f5
643184781,#4c7cb0
643466215,#911f4c
643539924,#02e9f5
643561840,#4c7cb0
643582572,#02e9f5
644102634,#4c7cb0
644228597,#4c7cb0
644252980,#f0bdd1
644778587,#4c7cb0
644785859,#4c7cb0
644803100,#02e9f5
644838239,#02e9f5
644868960,#02e9f5
644985432,#f0bdd1
644994211,#f0bdd1
645022554,#f0bdd1
645024061,#f0bdd1
645356692,#4c7cb0
646118193,#d9d7d7
646136701,#f0bdd1
646138140,#f0bdd1
646162852,#a88d4c
646265779,#a88d4c
646431907,#4c7cb0
646508630,#4c7cb0
646531604,#d9d7d7
646615337,#8a51b5
646670555,#d9d7d7
646692410,#8a51b5
646814905,#a88d4c
647357872,#d9d7d7
647824493,#4c7cb0
648106495,#f0bdd1
648111765,#02e9f5
648248412,#02e9f5
648709303,#02e9f5
648830087,#4c7cb0
649743861,#911f4c
649836138,#4c7cb0
649840516,#911f4c
649844335,#d9d7d7
649973165,#4c7cb0
650317464,#4c7cb0
650322694,#ed83f2
650419323,#d9d7d7
650462157,#8a51b5
650533873,#4c7cb0
650537474,#4c7cb0
650554367,#4c7cb0
650556753,#4c7cb0
650557707,#4c7cb0
650560989,#f0bdd1
650566225,#4c7cb0
650572730,#4c7cb0
650574110,#4c7cb0
650584618,#4c7cb0
650594284,#4c7cb0
650597845,#4c7cb0
651377510,#4c7cb0
651553707,#ed83f2
651637327,#4c7cb0
2501716760,#8a51b5
2502432557,#02e9f5
2504154509,#02e9f5
2504608111,#d9d7d7
2506750931,#8a51b5
2507116236,#8a51b5
2507135863,#a88d4c
2508713125,#8a51b5
2508737341,#8a51b5
2508832175,#8a51b5
2509460984,#8a51b5
2509595393,#d9d7d7
2510117321,#8a51b5
2510271139,#8a51b5
2511847221,#911f4c
2513101472,#8a51b5
2514162264,#ed83f2
2514183435,#911f4c
2514308708,#4c7cb0
2514354871,#4c7cb0
2514407735,#4c7cb0
2514648978,#ed83f2
2514923018,#02e9f5
2515848549,#ed83f2
2515860984,#02e9f5
2516655449,#911f4c
2517402216,#911f4c
2518922703,#ed83f2
2521963666,#8a51b5
2523102898,#911f4c
2523117818,#8a51b5
2523273172,#4c7cb0
2523326346,#02e9f5
2523709498,#02e9f5
2523948462,#8a51b5
2524003709,#02e9f5
2524105534,#8a51b5
2524137231,#8a51b5
2524274346,#02e9f5
2524444290,#02e9f5
2525212471,#02e9f5
2525477803,#4c7cb0
2526206302,#4c7cb0
2526211498,#ed83f2
2526265112,#02e9f5
2530355742,#4c7cb0
2531865357,#8a51b5
2532551451,#d9d7d7
2533905487,#ed83f2
2534115398,#ed83f2
2535594075,#4c7cb0
2535910633,#911f4c
2536961732,#4c7cb0
2536978086,#4c7cb0
2538441720,#4c7cb0
2539073799,#8a51b5
2540714307,#911f4c
2540826699,#02e9f5
2541189170,#02e9f5
2541387613,#4c7cb0
2541770466,#8a51b5
2545621755,#8a51b5
2545785464,#4c7cb0
2545788052,#4c7cb0
2546334702,#a88d4c
2546888490,#911f4c
2546946754,#4c7cb0
2547520830,#4c7cb0
2547574542,#f0bdd1
2553938401,#d9d7d7
2558697988,#a88d4c
2558989436,#4c7cb0
2559107088,#d9d7d7
2559157353,#a88d4c
2559320056,#a88d4c
2559444171,#4c7cb0
2559619928,#4c7cb0
2559698180,#f0bdd1
2559707398,#4c7cb0
2562215766,#02e9f5
2562220428,#d9d7d7
2562526304,#02e9f5
2563185574,#4c7cb0
2563246657,#4c7cb0
2563289884,#02e9f5
2563294002,#4c7cb0
2563355779,#4c7cb0
2563385670,#02e9f5
2563807749,#4c7cb0
2565571864,#8a51b5
2568551549,#02e9f5
2571096348,#02e9f5
2572680953,#8a51b5
2573450171,#02e9f5
2573549972,#4c7cb0
2574147453,#02e9f5
2574158553,#02e9f5
2574222741,#8a51b5
2574335190,#8a51b5
2576817406,#4c7cb0
2581725671,#d9d7d7
2584206950,#4c7cb0
2585921718,#4c7cb0
2587698373,#911f4c
2587791001,#02e9f5
2587803757,#4c7cb0
2588065104,#4c7cb0
2588166302,#4c7cb0
2588243551,#4c7cb0
2588744146,#8a51b5
2588747822,#8a51b5
2595072705,#02e9f5
2595078117,#02e9f5
2595388610,#4c7cb0
2596321130,#4c7cb0
2596701053,#8a51b5
2597046857,#02e9f5
2597050757,#d9d7d7
2599009806,#911f4c
2599041702,#911f4c
2599686403,#4c7cb0
2600104502,#02e9f5
2600695301,#a88d4c
2600972366,#4c7cb0
2601078895,#4c7cb0
2602293577,#4c7cb0
2602600749,#4c7cb0
2603578781,#02e9f5
2608492043,#4c7cb0
2608666958,#4c7cb0
2611758467,#d9d7d7
2612207489,#02e9f5
2619989858,#ed83f2
2621314986,#d9d7d7
2622835366,#d9d7d7
2623321364,#02e9f5
2624755670,#4c7cb0
2629330981,#02e9f5
2629951438,#4c7cb0
2631972716,#a88d4c
2634933426,#8a51b5
2635724726,#f0bdd1
2635799231,#8a51b5
2638010516,#4c7cb0
2639034302,#02e9f5
2639554378,#8a51b5
2640758964,#911f4c
2641022822,#8a51b5
2641728649,#a88d4c
2642138566,#4c7cb0
2647862485,#8a51b5
2649164702,#8a51b5
2649990427,#8a51b5
2651256926,#4c7cb0
2653871141,#ed83f2
2654398626,#4c7cb0
2654721458,#a88d4c
2654896486,#02e9f5
2655737999,#a88d4c
2656602902,#8a51b5
2657040349,#d9d7d7
2657371958,#4c7cb0
2658526870,#4c7cb0
2661412623,#a88d4c
2664419674,#8a51b5
2665924548,#d9d7d7
2668542361,#4c7cb0
2672468637,#8a51b5
2673240153,#d9d7d7
2674946593,#ed83f2
2676288994,#911f4c
2676305265,#911f4c
2676823708,#8a51b5
2681975437,#8a51b5
2682581977,#d9d7d7
2683449215,#4c7cb0
2684770006,#4c7cb0
2685523923,#d9d7d7
2685851736,#8a51b5
2685874899,#4c7cb0
2686626682,#02e9f5
2687722789,#ed83f2
2689225124,#a88d4c
2690163021,#a88d4c
2695589341,#8a51b5
2696448630,#4c7cb0
2699072016,#f0bdd1
2703716035,#a88d4c
2706333248,#4c7cb0
2707826191,#4c7cb0
2708415011,#d9d7d7
2708461709,#02e9f5
2712876120,#ed83f2
2715489206,#911f4c
2718988555,#d9d7d7
2721818588,#ed83f2
2723880805,#ed83f2
2725054621,#4c7cb0
2727919427,#911f4c
2729853871,#02e9f5
2731395398,#02e9f5
2732534769,#ed83f2
2735528768,#911f4c
2738994342,#911f4c
2739063732,#d9d7d7
2740991936,#02e9f5
2743095418,#a88d4c
2743242889,#4c7cb0
2744178196,#d9d7d7
2752564086,#d9d7d7
2752697136,#a88d4c
2752818003,#f0bdd1
2753012635,#02e9f5
2753578448,#8a51b5
2756130653,#4c7cb0
2756662145,#4c7cb0
2756757408,#8a51b5
2756903887,#d9d7d7
2758121679,#4c7cb0
637169670,#8a51b5
637313272,#fafa02
637314846,#fafa02
637776587,#fafa02
638025617,#02e9f5
638963693,#fafa02
640556532,#911f4c
641345424,#02e9f5
641675484,#fafa02
641706767,#911f4c
642599850,#fafa02
643466155,#911f4c
643583553,#fafa02
643585975,#fafa02
643585977,#fafa02
646566478,#fafa02
646570577,#fafa02
646754604,#911f4c
647565411,#fafa02
647572375,#fafa02
647576409,#fafa02
650129405,#fafa02
650977002,#02e9f5
2503613954,#fafa02
2503613957,#fafa02
2503613959,#fafa02
2503635039,#fafa02
2503747364,#fafa02
2504648148,#fafa02
2506601331,#fafa02
2506609737,#fafa02
2507318795,#fafa02
2507451008,#fafa02
2509422588,#fafa02
2509428872,#fafa02
2509508812,#fafa02
2509575586,#fafa02
2509595288,#d9d7d7
2509811409,#fafa02
2509813137,#fafa02
2510101544,#fafa02
2510102621,#fafa02
2511038471,#fafa02
2512507891,#fafa02
2512507895,#fafa02
2512511554,#fafa02
2512513310,#fafa02
2516923383,#911f4c
2516991653,#911f4c
2517241106,#fafa02
2529414822,#fafa02
2534356852,#fafa02
2549982635,#911f4c
2549984116,#911f4c
2556786304,#911f4c
2563077023,#02e9f5
2578017418,#fafa02
2583271092,#ed83f2
2585140030,#8a51b5
2585342097,#911f4c
2595103141,#8a51b5
2597407909,#d9d7d7
2619250743,#fafa02
2619251465,#fafa02
2628070275,#fafa02
2628366099,#fafa02
2631722277,#fafa02
2637009629,#fafa02
2637010074,#fafa02
2637739258,#fafa02
2638795009,#ed83f2
2639212580,#fafa02
2641368938,#d9d7d7
2646044560,#02e9f5
2646299545,#fafa02
2653681759,#d9d7d7
2653685691,#d9d7d7
2673879370,#fafa02
2683941841,#fafa02
2687482476,#fafa02
2687485717,#fafa02
2687485721,#fafa02
2687486036,#fafa02
2690557714,#911f4c
2691422579,#fafa02
2691422582,#fafa02
2700281546,#d9d7d7
2714951402,#fafa02
2719355094,#fafa02
2719356705,#fafa02
2721860155,#02e9f5
2725877597,#fafa02
2725878586,#fafa02
2728922848,#d9d7d7
2733642447,#911f4c
2745215289,#fafa02
2745814382,#fafa02
2745817402,#fafa02
2752802232,#d9d7d7
2758565311,#d9d7d7
642657627,#d9d7d7
642750513,#d9d7d7
2507463391,#d9d7d7
2512917956,#d9d7d7
2728203415,#d9d7d7
2728328857,#d9d7d7
641096982,#8a51b5
2514800626,#8a51b5
2559593776,#02e9f5
2599043169,#911f4c
2634937111,#8a51b5
2635924883,#d9d7d7
640858386,#4c7cb0
642851245,#4c7cb0
645007404,#d9d7d7
646284085,#d9d7d7
648433910,#4c7cb0
648851191,#4c7cb0
651596056,#4c7cb0
2506734393,#d9d7d7
2508507942,#4c7cb0
2520444196,#d9d7d7
2522303838,#8a51b5
2523934366,#4c7cb0
2524020360,#4c7cb0
2525228074,#4c7cb0
2537173142,#4c7cb0
2557097426,#4c7cb0
2558252846,#d9d7d7
2558977014,#4c7cb0
2560022917,#4c7cb0
2564010107,#d9d7d7
2587800133,#4c7cb0
2599829089,#4c7cb0
2609721907,#4c7cb0
2624741682,#4c7cb0
2626699160,#8a51b5
2628685850,#4c7cb0
2631586469,#4c7cb0
2635237006,#4c7cb0
2638610342,#4c7cb0
2647165744,#d9d7d7
2653802776,#4c7cb0
2656284461,#4c7cb0
2661084866,#4c7cb0
2671631328,#4c7cb0
2677141036,#4c7cb0
2682734415,#d9d7d7
2689871815,#4c7cb0
2698147549,#4c7cb0
2714147626,#4c7cb0
2752760718,#4c7cb0
639744470,#f0bdd1
641717420,#f0bdd1
645042903,#f0bdd1
648487228,#f0bdd1
650890098,#4c7cb0
2508508108,#4c7cb0
2516521678,#f0bdd1
2531215741,#4c7cb0
2587762522,#4c7cb0
2588160813,#4c7cb0
2596737711,#f0bdd1
2611776081,#f0bdd1
2620967811,#f0bdd1
2631211459,#f0bdd1
2638238256,#f0bdd1
2648280857,#f0bdd1
2676272484,#f0bdd1
2715324074,#f0bdd1
2723653257,#02e9f5
2723653259,#02e9f5
2766427097,#f0bdd1
637781349,#02e9f5
644838244,#02e9f5
646670561,#d9d7d7
648111759,#02e9f5
648709309,#02e9f5
2502432563,#02e9f5
2504154516,#02e9f5
2507135869,#a88d4c
2508736457,#8a51b5
2509742132,#02e9f5
2510114991,#8a51b5
2510273284,#8a51b5
2514183994,#911f4c
2514923022,#02e9f5
2523709494,#02e9f5
2524003704,#02e9f5
2524274339,#02e9f5
2525212477,#02e9f5
2526265107,#02e9f5
2527180326,#02e9f5
2559157359,#a88d4c
2559585404,#02e9f5
2562215772,#02e9f5
2562526309,#02e9f5
2568551555,#02e9f5
2571096354,#02e9f5
2574158547,#02e9f5
2597046850,#02e9f5
2600104507,#02e9f5
2603578787,#02e9f5
2623321370,#4c7cb0
2629330975,#02e9f5
2631972722,#a88d4c
2639034295,#02e9f5
2654896492,#02e9f5
2655737993,#a88d4c
2731395405,#02e9f5
2740991934,#02e9f5
2743095412,#a88d4c
2752564080,#d9d7d7
2752697130,#a88d4c
2756903893,#d9d7d7
2509742134,#02e9f5
640448068,#ed83f2
640784793,#4c7cb0
641111151,#d9d7d7
646312608,#8a51b5
646315435,#8a51b5
646317912,#4c7cb0
649974196,#4c7cb0
651235538,#911f4c
2263232752,#d9d7d7
2501544018,#fafa02
2506502977,#4c7cb0
2506719987,#8a51b5
2508511813,#4c7cb0
2509051597,#d9d7d7
2509083574,#d9d7d7
2512784381,#d9d7d7
2513590081,#911f4c
2514680665,#4c7cb0
2514705863,#f0bdd1
2515468185,#d9d7d7
2520384987,#d9d7d7
2521970165,#911f4c
2523094844,#f0bdd1
2523755036,#f0bdd1
2524318457,#4c7cb0
2527535175,#d9d7d7
2528735113,#d9d7d7
2528817357,#ed83f2
2529200946,#d9d7d7
2534536305,#911f4c
2540574824,#d9d7d7
2540576379,#d9d7d7
2541003346,#d9d7d7
2548828451,#911f4c
2551991020,#911f4c
2557165930,#4c7cb0
2574441679,#d9d7d7
2579128081,#4c7cb0
2579618311,#f0bdd1
2586983992,#911f4c
2595227386,#02e9f5
2596566649,#d9d7d7
2598756720,#f0bdd1
2603084747,#d9d7d7
2611046485,#ed83f2
2611931264,#911f4c
2617473638,#4c7cb0
2617852305,#ed83f2
2617970411,#d9d7d7
2618063501,#4c7cb0
2618063689,#4c7cb0
2620061982,#d9d7d7
2628297299,#f0bdd1
2628453047,#f0bdd1
2629148383,#911f4c
2629384958,#f0bdd1
2629788773,#f0bdd1
2632621469,#4c7cb0
2636584114,#d9d7d7
2636599620,#911f4c
2644548068,#911f4c
2646204589,#d9d7d7
