DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,RMotif
LEGEND_LABELS,Yes,No

DATA
637124597,#000000
637456760,#000000
637475465,#000000
637607529,#000000
637781355,#000000
637781358,#000000
637846716,#000000
637926727,#000000
640592077,#000000
640612957,#000000
640870062,#000000
640872262,#000000
640949094,#000000
641006774,#000000
641036800,#FFFFFF
641047713,#000000
641405730,#FFFFFF
642193159,#000000
642204870,#000000
642613134,#000000
642852556,#000000
643102058,#000000
643114453,#000000
643138633,#FFFFFF
643184781,#000000
643466215,#000000
643539924,#000000
643561840,#000000
643582572,#000000
644102634,#FFFFFF
644228597,#000000
644252980,#000000
644778587,#000000
644785859,#000000
644803100,#000000
644838239,#000000
644868960,#000000
644985432,#000000
644994211,#000000
645022554,#000000
645024061,#000000
645356692,#000000
646118193,#000000
646136701,#000000
646138140,#000000
646162852,#000000
646265779,#000000
646431907,#000000
646508630,#000000
646531604,#000000
646615337,#000000
646670555,#000000
646692410,#000000
646814905,#000000
647357872,#000000
647824493,#000000
648106495,#000000
648111765,#000000
648248412,#000000
648709303,#000000
648830087,#000000
649743861,#000000
649836138,#000000
649840516,#000000
649844335,#000000
649973165,#000000
650317464,#000000
650322694,#000000
650419323,#000000
650462157,#000000
650533873,#000000
650537474,#000000
650554367,#000000
650556753,#000000
650557707,#FFFFFF
650560989,#000000
650566225,#000000
650572730,#000000
650574110,#000000
650584618,#000000
650594284,#000000
650597845,#000000
651377510,#000000
651553707,#000000
651637327,#FFFFFF
2501716760,#000000
2502432557,#000000
2504154509,#000000
2504608111,#000000
2506750931,#000000
2507116236,#000000
2507135863,#000000
2508713125,#000000
2508737341,#000000
2508832175,#000000
2509460984,#000000
2509595393,#000000
2510117321,#000000
2510271139,#000000
2511847221,#000000
2513101472,#000000
2514162264,#000000
2514183435,#000000
2514308708,#000000
2514354871,#000000
2514407735,#000000
2514648978,#000000
2514923018,#000000
2515848549,#000000
2515860984,#000000
2516655449,#000000
2517402216,#000000
2518922703,#000000
2521963666,#000000
2523102898,#000000
2523117818,#000000
2523273172,#000000
2523326346,#FFFFFF
2523709498,#000000
2523948462,#000000
2524003709,#000000
2524105534,#000000
2524137231,#000000
2524274346,#000000
2524444290,#000000
2525212471,#000000
2525477803,#000000
2526206302,#000000
2526211498,#000000
2526265112,#000000
2530355742,#000000
2531865357,#000000
2532551451,#000000
2533905487,#000000
2534115398,#000000
2535594075,#000000
2535910633,#000000
2536961732,#000000
2536978086,#000000
2538441720,#000000
2539073799,#000000
2540714307,#000000
2540826699,#000000
2541189170,#000000
2541387613,#FFFFFF
2541770466,#000000
2545621755,#000000
2545785464,#000000
2545788052,#000000
2546334702,#000000
2546888490,#000000
2546946754,#000000
2547520830,#000000
2547574542,#000000
2553938401,#000000
2558697988,#000000
2558989436,#000000
2559107088,#000000
2559157353,#000000
2559320056,#000000
2559444171,#000000
2559619928,#000000
2559698180,#000000
2559707398,#000000
2562215766,#000000
2562220428,#000000
2562526304,#000000
2563185574,#000000
2563246657,#000000
2563289884,#000000
2563294002,#000000
2563355779,#000000
2563385670,#000000
2563807749,#000000
2565571864,#000000
2568551549,#000000
2571096348,#000000
2572680953,#000000
2573450171,#000000
2573549972,#000000
2574147453,#000000
2574158553,#000000
2574222741,#000000
2574335190,#000000
2576817406,#000000
2581725671,#000000
2584206950,#000000
2585921718,#000000
2587698373,#000000
2587791001,#000000
2587803757,#000000
2588065104,#000000
2588166302,#000000
2588243551,#000000
2588744146,#000000
2588747822,#000000
2595072705,#000000
2595078117,#000000
2595388610,#000000
2596321130,#000000
2596701053,#000000
2597046857,#000000
2597050757,#000000
2599009806,#000000
2599041702,#000000
2599686403,#000000
2600104502,#000000
2600695301,#000000
2600972366,#000000
2601078895,#000000
2602293577,#000000
2602600749,#000000
2603578781,#000000
2608492043,#000000
2608666958,#000000
2611758467,#000000
2612207489,#000000
2619989858,#000000
2621314986,#000000
2622835366,#000000
2623321364,#000000
2624755670,#000000
2629330981,#000000
2629951438,#000000
2631972716,#000000
2634933426,#000000
2635724726,#000000
2635799231,#000000
2638010516,#000000
2639034302,#000000
2639554378,#000000
2640758964,#000000
2641022822,#000000
2641728649,#000000
2642138566,#000000
2647862485,#000000
2649164702,#000000
2649990427,#000000
2651256926,#000000
